אדרבה,ההפך,דברי תורה,חוסר סדר,אמר רבי,ההפך
אהייא,הקול שהחמור משמיע,אהיה,על איזה,אנחנו,על איזה
אוזיף,זייף מטבעות,הלווה,הוסיף,תבשיל אווז,הלווה
אוכם,אתכם,אוכף,הלכו,שחור,שחור
אוקי,בסדר,משחק ילדים,שם חיבה,תעמיד,תעמיד
אור,אש,ראיה,חלון,קפיצה,אש
אורחא,הכנסת אורחים,דרך,אור חזק,פתוח,דרך
אורייתא,שותף,התורה הקדושה,אמר,קרבנות,התורה הקדושה
אורתא,מרגל,בוקר,ערב,יודע,ערב
אורתה,רפת,שדה,נעל אותו,הוריש אותה,הוריש אותה
אושפיזא,חג הסוכות,בית רפואה,אורח,מגדל,אורח
אזדא,הולכת,בונה בית,שולחן,כוונה טובה,הולכת
אזל,ניגון,הלך,נהיה זול,אוכל,הלך
אחרינא,אותו דבר,שם של צמח,כרם גפן,אחר,אחר
אטו,מרכבה,משום - בגלל,למה,האומנם,משום - בגלל
אטו,האם,אטב כביסה,איפה,אנחנו,האם
אי,לא,אי בים,היכן,אם,אם
אי הכי,הכי הרבה,אפילו,אם כך,אין הבדל,אם כך
אי נמי,או גם,שנאמר,בזמן שישן,היא הלכה,או גם
איבעיא להו,הביע דעתו,נשאלה להם שאלה,אכלו בשר,שתקו,נשאלה להם שאלה
איברא,אמת,נכד,נברא,המצאה,אמת
איגלאי,גלי הים,בצורת עיגול,נתגלה,איגלו,נתגלה
אידי ואידי,אדר ראשון ושני,זה וזה,יהודי,איפה ולמה,זה וזה
אידך,האחר,אדים,עדיין,אומר,האחר
אידכר,דקירה,אם,אלא,נזכר,נזכר
איידי,אגב,היהודי,אחר,רצון,אגב
איכא,אין,דומה,יש,איפה,יש
איכא בינייהו,ההבדל ביניהם,הבניין ההוא,הסברה הראשונה,דומה לו,ההבדל ביניהם
איכא דאמרי,נשיאת כדים,יש שואלים,יש שאומרים,רוצה לשמוח,יש שאומרים
איכא למימר,בניית כדים,יש לומר,אמירת תודה,למה,יש לומר
אימא,אימא,זריז,יראה,תאמר,תאמר
אימת,מתי,פחד,אמה - מידה,אם,מתי
אין,לא,בתוך,כן,בחוץ,כן
איני,שאלתך לא מובנת,תירוצך מסתדר,בוודאי,האומנם כך,האומנם כך
איניש,בן אדם,הר גבוה,חבר,חולה,בן אדם
איסורא,שידוכים,קל,איסור,לראות,איסור
איפוך,תהפוך,תוכיח,שמיכה,גלגל,תהפוך
איפכא מסתברא,הפוך את המסננת,דבריך הגיוניים,חשב לומר,מסתבר ההפך,מסתבר ההפך
איצטריך,לא צריך,צריך,בריאות,רווחה,צריך
אישתעי,שתה יין,תשובה,פסק דין,סיפר,סיפר
איתיביה,תירץ אותו,הקשה עליו,שיבח אותו,כמעט טבע,הקשה עליו
איתימא,אם תרצה תאמר,אדם תם וישר,הגיע,עד מתי,אם תרצה תאמר
איתמר,עץ תמר,נאמר בבית המדרש,הבדל,כתוב בפסוק,נאמר בבית המדרש
איתתא,אישה,שמש,שמחה,ברכה,אישה
אליבא,לפי,חכמה,כלומר,על הלב,לפי
אלימא,עלים,חזקה,לימון,חלשה,חזקה
אלמא,מיטה,תוכיח ההפך,משונה,רואים מכאן,רואים מכאן
אמאי,מעיין מים,למה,ערב,איך,למה
אמורא,מורה ומדריך,מחכמי המשנה,נביא,מחכמי הגמרא,מחכמי הגמרא
אמר לך,יכול לתרץ לך,לא יענה לך,ממונה כספים,שומר השער,יכול לתרץ לך
אמר מר,מאכל מר,חזר,אמר החכם,ברח,אמר החכם
אמר קרא,קריאת התרנגול,כתוב בפסוק,אמרו תנאים,איש גבוה,כתוב בפסוק
אסיא,סוף,ארץ,שועל,רופא,רופא
ארעא,חלש,הר,קרקע,ענווה,קרקע
אשיתא,קיר,עץ שיטה,אש,חוף ים,קיר
אתון,אתם,משקל,נתן,נטיעת עץ,אתם
אתרא,מקום,חשב,חיפש,נתן,מקום
באנפיה נפשיה,לפיד אש,ענף,כנפי נשר,בפני עצמה,בפני עצמה
בבא,נר,הגיע,שער,טוב,שער
בגו,ישיבה,בתוך,עוד,בחוץ,בתוך
בהדי,בד,ביחד,בנפרד,מקל,ביחד
בהדיא,בפירוש,אוהל,בדין,בסתר,בפירוש
מטא,הלך,הגיע,שאלה,תשובה,הגיע
בכדי,בתוך כד - חבית,בחינם,בתשלום,שווה,בחינם
במאי,ענה,עמידה,במה,ראיה,במה
במערבא,בים,ערב - לילה,צבי,בארץ ישראל,בארץ ישראל
בעי,בנין,שאל,פירות,תירץ,שאל
בעי,רצה,מפה,בצל,ענה,רצה
בעי,בית,בינה,צריך,יבש,צריך
בעיא,תשובה,שאלה,חשב,בועה,שאלה
בציר,ענבים,הרבה אנשים,למרות,פחות,פחות
בר,רב,בן,מצווה,אוכל,בן
בר,חוץ,רצון,פנים,בגד,חוץ
ברי,לבן,בריאות,וודאי,קטן,וודאי
ברייתא,פסוק,נבואה,משנה רגילה,משנה חיצונית,משנה חיצונית
ברת,בן,בת,דלת,ברז,בת
בשלמא,מילא,בשלמות,להתראות,בשל,מילא
בתר,חתוך,בין,נשאר,אחרי,אחרי
אשכח,חיפש,שכח,מצא,נזכר,מצא
איהו,קול שמשמיע החמור,איפה,הוא,אדמה,הוא
אלמה,מי שתיה,קפיצה,למה,כי,למה
אם איתא,וכי כך כתוב,אם יש,למה אין,כנראה,אם יש
אמינא,אדם הגון וישר,שם עיר,אומר,אשתוק,אומר
אשתייר,אורח,נשאר,פרסת סוס,שפת הפרסיים,נשאר
אתא,את חפירה,בתים,הגיע,נשאר,הגיע
ביה,בו,בך,בן,רטוב,בו
בינייהו,נביא,ביניהם,דיברו,בן ונכד,ביניהם
א בראש מילה,אפילו,ב,על,כ,על
בתרא,אחרון,בראשי תיבות,סכין,תורה,אחרון
אגרא,זמן,עכבר,מאגר,שכר,שכר
ארבא,אוניה,המספר ארבע,מצוי,ארבה,אוניה
אילימא,חוזק,השלמה,מילה,אם נאמר,אם נאמר
אית,אם,הקשיב,איש,יש,יש
אכתי,קבוצה,אמנם,עדיין,שמן זית,עדיין
איירי,אור,מדובר,הרי,חודש אייר,מדובר
גביה,גביע,לחם,לגבות כסף,אצלו,אצלו
גברא,גיבנת,כאב גב,בן אדם,התגבר,בן אדם
גברא רבא,גיבור כארי,אדם חשוב,איש שמן,שם של תנא,אדם חשוב
גואי,שעה,גוי,בפנים,בחוץ,בפנים
גמיר,למד,זרק,סיים,שכח,למד
גני,גן פרחים,חג,התעורר,ישן,ישן
ד בראש מילה,ב,ש,כ,ל,ש
דא,זה,אדים,די,חייב,זה
דביתיהו,משקל,דוב יער,חמותו,אישתו,אישתו
דהבא,סוס,זהב,זקן,דלי,זהב
דוכתא,חיים,זיתים,רחוק,מקום,מקום
דומיא,דומה,ירידה,שונה,שקט,דומה
דחיל,פטור,דחליל,מפחד,מוזג,מפחד
דידי,שמה,מלך,נביא,שלי,שלי
דידך,מספיק,שלך,חבר,שיר,שלך
דיו,מספיק לו,חיים,כלה,נורא,מספיק לו
דיינא,גלי הים,מספיק,דיין,שיר,דיין
דיליה,שלו,חסד,טעות,עני ואביון,שלו
דילמא,אור גדול,למה,אולי,הביא,אולי
דיעבד,המציא,שכבר עשה,משרת,דין תורה,שכבר עשה
דכתיב,כמו שכתוב,רחמים,דבר טוב,דק,כמו שכתוב
דל,עבודה בשדה,עוזר,תוריד,מעט,תוריד
דמי,שמי,דומה,נר,אמר,דומה
דמים,מים,צבע אדום,דמעה,כסף,כסף
דריש,דרך,קיים,דורש,מקום גבוה,דורש
הא,הרי,המספר שתים,כאן,שם,הרי
הא,הראה,כמוני,נזל,זה,זה
האי,אי,זה,שלא,שומר,זה
האי מאן,מאיפה בא,גיבור,מי ש...,תכשיט,מי ש...
האידנא,עכשיו,דומה,תמיד,לא יכול,עכשיו
הב,נביחת כלב,קח,תן,הסבר,תן
הבלא,שטות,ישן,לך,רוח,רוח
הדדי,יחד,הודיתי,קרא לאביו,עידוד,יחד
הדר,פרי,חזר,פתח,עץ,חזר
ההוא,אותו,אינו,אמר,עניו,אותו
הוא אמינא,אמר אמן,אמונה בה',שתי מנות,הייתי אומר,הייתי אומר
הואיל,את,ביאור,בגלל,התחיל,בגלל
הוה,היה,ברא,יכול,עכשיו,היה
הי,צמח,איזה,נהר,צבא,איזה
היאך,שמחה,אבא,בהתחלה,איך,איך
היינו הך,התבלבל,זה אותו דבר,שונה,עיר זו,זה אותו דבר
היכא,חזק,הריחה,איפה,חכמה,איפה
היכי,איך,חיים,נאמן,היכן,איך
היכי דמי,מלקות,מי אמר,תקנה,איך מדובר,איך מדובר
הילכתא,להלכה,הפרשת חלה,ברכה,הליכה,להלכה
הכא,מכה,שם,כאן,חלום טוב,כאן
הכי,הרבה,כך,יונה,חלה,כך
הלה,בנה,אני,האיש ההוא,בצורת,האיש ההוא
הלכך,לכן,נהר,חול,ביאור,לכן
הני,דבש,ציפור,הר,אלו,אלו
הניחא,זה נוח,עייפות,נשיאת חן,מנוחה - שינה,זה נוח
השתא,פעם,עכשיו,חג הפסח,צום,עכשיו
התם,חזק,חלש,כאן,שם,שם
ורמינהו,ונקשה סתירה,מרים ראש,רימון,נביא ראיה,ונקשה סתירה
ותו,ותיק,שילם,ועוד,יש,ועוד
זיקא,זיקית,תודה,רוח,ברק,רוח
זוטא,עם,שבועה,גדול,קטן,קטן
חדתי,חשב,חדר,חדשים,קבוצה,חדשים
חמרא,ממון,רחמן,חמור,סוס,חמור
טבח,מכין אוכל,שחט,רעש,נהרים,שחט
טובא,הרבה,קצת,שמן,טוב לב,הרבה
טור,צום,קול,הר,חפירה,הר
טעמא,טענה,הסיבה,סבלנות,טעים,הסיבה
טפי,מתוק,יכול,יותר,פחות,יותר
יהיב,נתן,עשיר,ראש,הסתיר,נתן
יומא,לקח,נתן,יום,לילה,יום
יקירי,שעווה,ריקים,מחר,כבדים,כבדים
ירחא,ריח,רוח מצויה,חודש,שמים,חודש
יתיב,ישב,מתי,ילד,עשה,ישב
כאיבא,אבק,כאב,כובע,כמו אבא,כאב
כגון,עוגן אוניה,כהן,עין,כמו,כמו
כד,פותח,כדור,כאשר,מתקן,כאשר
לאו,לא,כן,אלא,הרי,לא
לבתר,חצי,לפני,שבירה,אחרי,אחרי
להו,להם,לך,עבר,ארץ,להם
מי,ים,איך,כבש,האם,האם
מלכא,מקום,ארץ רחוקה,חשב,מלך,מלך
מכלל,מכאן אתה לומד,תוכיח ההפך,נמצא בפנים,באופן כללי,מכאן אתה לומד
מנא,כלי,רופא,נעל,ביטחון,כלי
מנא,לחם,מזון,נס,מהיכן,מהיכן
מנין,מכאן,מהיכן,משם,מנת אוכל,מהיכן
מנלן,מנעול,מהיכן לנו,תועלת,התחתן,מהיכן לנו
מסתפינא,נוסע בספינה,רגוע אני,מפחד אני,כסא,מפחד אני
מעיקרא,מההתחלה,פינה חדה,מים קרים,מהסוף,מההתחלה
מעליא,אחורה,חתך,מעולה,גרוע,מעולה
מפרק,מתרץ,מקשה,הפסד,מכין כלי,מתרץ
מצי,כלי,צום,מצה,יכול,יכול
מצלי,עושה צל,מתפלל,שבת קודש,בוכה,מתפלל
מקיש,דופק בדלת,זנב,משווה,מפקיר,משווה
מקמיה,נעמד,לאחרי,ישב,מלפני,מלפני
מר,חכם,עם הארץ,לא מתוק,גבוה,חכם
משני,שואל,התעורר,מתרץ,הלך לישון,מתרץ
משתעי,שינוי,מדבר,שותה יין,קפץ,מדבר
מתא,הלך,נולד,נפטר,הגיע,הגיע
מתיב,מתרץ,כן,מקשה,מעשה,מקשה
מתיבתא,ישיבה,ספרים,פירוש,מקווה,ישיבה
מתניתא,מתנה,מרגלית,תרועת שופר,ברייתא,ברייתא
מתסרי,נאכלים,נוסע,מותרים,נאסרים,נאסרים
נהמא,הסכמה,נאמן,לחם,נביחת כלב,לחם
סיפא,סוף,ספסל,שטיח,ספר,סוף
סליק,ברכה,שק דינרים,עלה,שיבח,עלה
סתמא,"סופר סת""ם",שתיקה,אטום,באופן רגיל,באופן רגיל
עבד,למד,לא חכם,עשה,נח,עשה
עדיפא,עדיף,פדיון שבויים,קרש,לבנים,עדיף
עובדא,מאמץ,שכר,אבידה,מעשה,מעשה
עול,צא,גשם,תיכנס,אוהל,תיכנס
עידן,זמן,חדש,דין תורה,פעמון,זמן
עייל,כבש,נכנס,עייף,עוזר,נכנס
עילאה,מצו,תלמיד חכם צעיר,עלי עץ,עליון,עליון
עלמא,מצויין,גמל,מילה,עולם,עולם
עסקינן,כעס,זיכרון,מסחר,אנחנו עוסקים,אנחנו עוסקים
עסרא,נהר,המספר עשר,שיער,צבע סגול,המספר עשר
ערק,ברח,משקה משכר,קרע,שעורה,ברח
עתיר,עני,צעיר,עשיר,פנים,עשיר
פורתא,יופי,מגן,הרבה,קצת,קצת
פירכא,כפרה,תשובה,שאלה,לפני,שאלה
פלגא,שלם,חצי,שוחט,מכסה,חצי
פלוגתא,הסכמה,מחילה וסליחה,מקום הכנת יין,מחלוקת,מחלוקת
פליג,מסכים,חולק,כד,אוכל,חולק
פריך,חבל,מתרץ,שואל,אופה לחם,שואל
פריק,מתרץ,פרק משנה,מוריד משא,קיר,מתרץ
פרקמטיא,הגיע,פרק ראשון,עשיית חסד,סחורה,סחורה
פשוט,תתרץ,דרך סלולה,שומן,תוריד שכבה,תתרץ
פשיטא,עור בהמה,פשוט,טיפש,תלך,פשוט
צונמא,סלע,לחם קלוי,המספר אלף,קלף,סלע
צילותא,אם תרצה,ליצנות,צל השמש,תפילה,תפילה
צלי,התפלל,צורת בישול בשר,הצלה,בצל,התפלל
צנא,ערימת תבואה,נץ החמה,צנון,סל,סל
צפרא,חבר נאמן,בוקר,כסף,קול רעש,בוקר
צריכא,חרישה,לא צריך,צריך,נח,צריך
קא,ל,ו,מילת קישור,אם,מילת קישור
קאי,רשת,עומד,ציפיה,משחרר,עומד
קאמר,יבוא החכם,זרק,אומר,מר - לא מתוק,אומר
קושטא,אמת,קישוט,שקר,שם עיר,אמת
קיטרא,תודה,קשר,ריח,שוק,קשר
קלא,לא קשה,קול,פעם,שקט,קול
קמא,ראשון,שני,שדה חיטה,מצח,ראשון
קמי,לפני,בגד,לקום,אחרי,לפני
קמיפלגי,חולקים,מסכימים,מטבע,סדר,חולקים
קרא,סדר,קריאה,פסוק,אבן,פסוק
קרינן,קרניים,מערה,ניקיון,אנחנו קוראים,אנחנו קוראים
קשיא,קל,שתיה,שווה,קשה,קשה
קתני,כתוב,קטן,צעיר,שיכחה,כתוב
רהיט,צעיר,ארון ספרים,רץ,הולך לאט,רץ
רומיא,השלכה,רימון,שלום,סבלנות,השלכה
רחמנא,שינה,מחר,אדם רחמן,"התורה - הקב""ה","התורה - הקב""ה"
רישא,החלק הראשון,החלק האחרון,מאושר,רעש,החלק הראשון
שאני,זהה,שינה,שלווה,שונה,שונה
שבחא,מחמאה,לימוד,רווח,צמר,רווח
שביק,לקח,הניח - עזב,הקשיב,רצה,הניח - עזב
שדא,זרק,תיקן,זכות,דשא,זרק
שדר,חכם,דיבר,עף,שליח,שליח
שומא,זכאי,הערכת שווי,אולי,שמחה,הערכת שווי
שונרא,נשר,חמור,חתול,בקעה,חתול
שופטני,שוטים,שופטים,מערה,חכמים,שוטים
שיבבא,נסורת,שיבוא,שבוע,שכן,שכן
שייל,לש בצק,הלווה,שאל,אריה,שאל
שייר,השאיר,לקח,עשיר,עני,השאיר
שינויא,שינוי,תירוץ,אני,גולם,תירוץ
שית,שש,שנה,בוא ושמע,צבע,שש
שכיח,אבן מכשול,שיכחה,איבד,מצוי,מצוי
שמע מינה,תלמד מכאן,תשכח זאת,דבש דבורים,שומע באוזן אחת,תלמד מכאן
שמעינן,נשמה,אנחנו שומעים,שכר,נעים,אנחנו שומעים
שמעתתא,שמועה טובה,מעכשיו ולתמיד,שמש,דבר הלכה,דבר הלכה
שני לה,שינה אותה,תירץ אותה,ישן לילה,לידה,תירץ אותה
שפיר,יפה וטוב,הר,אש,נכון,יפה וטוב
שקיל,לקח,משקל,שודד,טובה,לקח
שרגא,תרנגול,דלי,גשר,נר,נר
שרי,שיר מזמור,אדם ישר,מותר,שער,מותר
שתא,זרק,שנה,ארץ,נעלים,שנה
תא שמע,בוא ושמע,לך לשם,לך ללמוד,התעייף,בוא ושמע
תבר,כד,חבית,תבואה,שבר,שבר
תגא,הכנת יין,ספר,כתר,עוגה,כתר
תהא,שעה,תהיה,חשב,משקה חם,תהיה
תו,משקל,מטבע,מנגינה,עוד,עוד
תורא,שור,אורות,תורה הקדושה,מקום,שור
תיובתא,תיבה,בית,קושיא,תירוץ,קושיא
תימא,תימן,תאמר,קיר נטוי,למה,תאמר
תימה,ראיה,נפטר,שור תם,תמוה,תמוה
תיקו,תעמוד,ותיק,ילך לדרכו,נוצה,תעמוד
תיתי,תוסיף,תביא,מאכל,ילד קטן,תביא
תכא,תוף,רץ,שולחן,שלוש,שולחן
תליא,כבש,לוח,אישה,תלוי,תלוי
תלת,גלגלים,אריה,שלוש,הדס,שלוש
תנא,חכם מחכמי המשנה,תירוץ,נביא,חכם מחכמי הגמרא,חכם מחכמי המשנה
תנאי היא,שאלו החכמים,זו מחלוקת תנאים,עשה תנאי,ספרי קודש,זו מחלוקת תנאים
תניא,שנינו ברייתא,שנינו משנה,כתוב בפסוק,ספר קדוש,שנינו ברייתא
תנן,שנינו ברייתא,כתוב בפסוק,שנינו משנה,גמרא,שנינו משנה
תסתיים,סוף דבר,סיום מסכת,מס למלך,תלמד - תוכיח,תלמד - תוכיח
תרגמה,מזון,תרגם והסביר אותה,אבני המזבח,תסיים,תרגם והסביר אותה
תרוייהו,פרווה,פחות,שיחה,שניהם,שניהם
תתאה,תחתון,חום גדול,תבן,תלמוד תורה,תחתון
זבן,ענן,רצה,מכר,קנה,קנה
זיל,לך,זול,עצם,אש,לך
זמנין,מקשיב,ריח טוב,ישן,פעמים,פעמים
זעירא,גדול,קטן,עוזר,מפריע,קטן
חדא,את,שומע,אחד,שאל,אחד
חדי,בקשה,יציאה,עצב,שמח,שמח
חוטרא,מקל,סכין,חבל,קלות,מקל
חזי,נעים,כתוב,חיוך,ראה,ראה
חיישינן,רוח חזקה,הרגיש,אנחנו חוששים,הבנה חדשה,אנחנו חוששים
חמרא,חומץ,יין,טוב לב,חרב,יין
טיהרא,צהרים,טהרה,מועיל,נר,צהרים
יחידאה,יחיד,אחד,חידה,שמח,יחיד
יכילנא,הכלה,אני יכול,סיום,כלי,אני יכול
יליף,פיל,יוסיף,שומר,לומד,לומד
ימא,צד צפון,טעם,פחד,ים,ים
יממא,יום,ים גדול,אמא,שיר,יום
ינוקא,מכר,ברכה,ילד קטן,נקי,ילד קטן
יסק,מים חמים,יעלה,ירד,שלג,יעלה
יפה,שווה,נראה,הלך,דף,שווה
כהנא,כהן,קניה,מכירה,ישראל,כהן
כולי האי,ניקוי,מי ש...,ראוי,כל זה,כל זה
כולי עלמא,חכם צעיר,שלם,לפי כולם,חצוי,לפי כולם
כופרא,אבא,זפת,אפשר,סגור,זפת
כותיה,כמותו,איש,כוורת,תיק,כמותו
כי,וילון,כאשר,דחיה,כלום,כאשר
כי האי גוונא,כמו המקרה הזה,כמו הצבע הזה,לא נחלקו אלא,לפחות כך,כמו המקרה הזה
כיוצא בו,בדומה לו,נכנס,ענה,יציאה לחרות,בדומה לו
כיסופא,אסיפה,כיסופים,בושה,ממון,בושה
כל אימת,נאמן,כל זמן,כמובן,כל ישראל,כל זמן
כל כמיניה,לא ביכולתו,המינים שדומים לו,מה שמלפניו,שמן כמהין,לא ביכולתו
כמאן,תבלין,כמו מי,קדימה,איך,כמו מי
כספא,תפוח,שק,שביל,כסף,כסף
כעין,גם,כמו,עין שלו,מדוע,כמו
כרעא,רגל,יד,ברכה,תרנגול,רגל
כשם,קשר,גשם,כמו,מאכל חריף,כמו
לא מיבעיא,לא חשוב,לא צריך,לא מובן,אין בעיה,לא צריך
לאפוקי,להכניס,להוציא,להוסיף,להחסיר,להוציא
לאתויי,התגבר,להחסיר,להביא,לומר,להביא
להלן,לנו,לפני,בהמשך,לכם,בהמשך
לחוד,לבד,ביחד,שפיץ,חוות דעת,לבד
לטעמיה,לטאה,טבח,לשיטתו,לצאת,לשיטתו
מהני,מועיל,מזיק,מתוק,משמח,מועיל
מוקמינן,עקום,ישר,נקמה,אנחנו מעמידים,אנחנו מעמידים
מחוורתא,התבייש,ברור ומובן,מוקשה,חבר,ברור ומובן
מחמת,חם,כלי מים,בגלל,ישר,בגלל
מטרא,רחוק,מידה,גשם,קרוב,גשם
מיגו,אמירה,ההפך,נכון,מתוך,מתוך
מידי,ידיים,פחות,דבר,יותר,דבר
מייתי,מביא,מוציא,מכניס,לוקח,מביא
מילתא,תרוקן,תמלא,תינוק,דבר,דבר
מיניה,מנהל,סוגים,אחראי,ממנו,ממנו
מיתיבי,מאמינים,מקשים,יושבים,מתרצים,מקשים
מיתרמי,צדקה,תורמים,מיזדמן,רמאי,מיזדמן
מכדי,כדאי - שווה,הרי / מכיון,גדול,קטן,הרי / מכיון
מלבר,מבחוץ,מבפנים,מלבן,ראיתי,מבחוץ
מלגאו,סכום כסף,מבחוץ,לחיים,מבפנים,מבפנים
משי,בגד,רוחץ,בעל הבית,משיב,רוחץ
מתני,כותב במשנה,ראיה,שיחה,תנאי,כותב במשנה
מתניתין,המשנה שלנו,פרשת השבוע,מוניטין,מתנה,המשנה שלנו
מתקיף,מקשה,יוצא למלחמה,עושה שלום,מתרץ,מקשה
נהי,נעים,כלי,נר,נכון,נכון
נונא,חום,דג,שם של אמורא,נכון,דג
נחת,עלה,שמחה,ירד,עצב,ירד
נטר,כתר,נטלה,תאנה,שמר,שמר
ניחא,תיבה,נוח,שבת,אם כך,נוח
ניחוש,כאב,פרח,נחשוש,כבוד,נחשוש
נימא,נחל,נזכור,נשכח,נאמר,נאמר
נינהו,דגים,הם,כן,גם,הם
נמי,מאכל,גם,צד ימין,נמנם - ישן,גם
נפיש,מועט,קצר,ארוך,מרובה,מרובה
נפק,רעב,יצא,התפרק,נכנס,יצא
נפשיה,סימן,מעשה טוב,נשמה,עצמו,עצמו
נקט,תפס,עזב,אור,עין טובה,תפס
סגי,שם,כן,מספיק,אתה,מספיק
סהדי,סידור,עדים,דיינים,חמשה חומשי תורה,עדים
סייעתא,עזרה,מכשול,תיקון,הדסים,עזרה
סלקא דעתך,סלק [ירק],עולה בדעתך לומר,שכחת,שכח מה שחשב,עולה בדעתך לומר
פוק,צא,כנס,תיקח,תביא,צא
שנא,לישון,לקום,שונה,מלמד,שונה